t,x,z,theta,xdot,zdot,thetadot,TWR,delta
0,20,300,0.03490658504,5,-10,0,0.6893897628,0.1745329252
0.001,20.005,299.99,0.03490658504,5.001406089,-10.00319487,-2.348735235e-05,0.6895295777,0.1745329252
0.002,20.01000141,299.9799968,0.03490656155,5.002812463,-10.0063884,-4.697946817e-05,0.6896693542,0.1745329252
0.003,20.01500422,299.9699904,0.03490651457,5.004219122,-10.00958059,-7.047634614e-05,0.6898090923,0.1745329252
0.004,20.02000844,299.9599808,0.0349064441,5.005626065,-10.01277144,-9.397798495e-05,0.689948792,0.1745329252
0.005,20.02501406,299.9499681,0.03490635012,5.007033293,-10.01596095,-0.0001174843833,0.6900884533,0.1745329252
0.006,20.0300211,299.9399521,0.03490623263,5.008440806,-10.01914912,-0.0001409955399,0.6902280763,0.1745329252
0.007,20.03502954,299.929933,0.03490609164,5.009848602,-10.02233594,-0.0001645114534,0.6903676608,0.1745329252
0.008,20.04003939,299.9199106,0.03490592713,5.011256682,-10.02552143,-0.0001880321225,0.690507207,0.1745329252
0.009,20.04505064,299.9098851,0.0349057391,5.012665046,-10.02870558,-0.0002115575459,0.6906467149,0.1745329252
0.01,20.05006331,299.8998564,0.03490552754,5.014073692,-10.03188839,-0.0002350877224,0.6907861844,0.1745329252
0.011,20.05507738,299.8898245,0.03490529245,5.015482622,-10.03506986,-0.0002586226505,0.6909256156,0.1745329252
0.012,20.06009286,299.8797894,0.03490503383,5.016891835,-10.03825,-0.000282162329,0.6910650085,0.1745329252
0.013,20.06510976,299.8697512,0.03490475166,5.018301331,-10.04142879,-0.0003057067566,0.691204363,0.1745329252
0.014,20.07012806,299.8597098,0.03490444596,5.019711108,-10.04460625,-0.0003292559319,0.6913436793,0.1745329252
0.015,20.07514777,299.8496651,0.0349041167,5.021121168,-10.04778237,-0.0003528098538,0.6914829572,0.1745329252
0.016,20.08016889,299.8396174,0.03490376389,5.02253151,-10.05095715,-0.0003763685208,0.6916221969,0.1745329252
0.017,20.08519142,299.8295664,0.03490338752,5.023942133,-10.0541306,-0.0003999319317,0.6917613982,0.1745329252
0.018,20.09021536,299.8195123,0.03490298759,5.025353038,-10.05730271,-0.0004235000851,0.6919005613,0.1745329252
0.019,20.09524072,299.809455,0.03490256409,5.026764224,-10.06047348,-0.0004470729798,0.6920396862,0.1745329252
0.02,20.10026748,299.7993945,0.03490211702,5.028175691,-10.06364292,-0.0004706506144,0.6921787728,0.1745329252
0.021,20.10529566,299.7893309,0.03490164637,5.029587439,-10.06681103,-0.0004942329877,0.6923178211,0.1745329252
0.022,20.11032524,299.779264,0.03490115214,5.030999467,-10.06997779,-0.0005178200984,0.6924568312,0.1745329252
0.023,20.11535624,299.7691941,0.03490063432,5.032411775,-10.07314323,-0.000541411945,0.6925958031,0.1745329252
0.024,20.12038866,299.7591209,0.0349000929,5.033824363,-10.07630733,-0.0005650085265,0.6927347367,0.1745329252
0.025,20.12542248,299.7490446,0.03489952789,5.035237231,-10.07947009,-0.0005886098413,0.6928736322,0.1745329252
0.026,20.13045772,299.7389651,0.03489893928,5.036650379,-10.08263153,-0.0006122158883,0.6930124894,0.1745329252
0.027,20.13549437,299.7288825,0.03489832707,5.038063806,-10.08579163,-0.0006358266661,0.6931513084,0.1745329252
0.028,20.14053243,299.7187967,0.03489769124,5.039477512,-10.08895039,-0.0006594421735,0.6932900893,0.1745329252
0.029,20.14557191,299.7087078,0.0348970318,5.040891497,-10.09210783,-0.0006830624091,0.693428832,0.1745329252
0.03,20.1506128,299.6986157,0.03489634874,5.04230576,-10.09526393,-0.0007066873716,0.6935675365,0.1745329252
0.031,20.15565511,299.6885204,0.03489564205,5.043720302,-10.0984187,-0.0007303170597,0.6937062028,0.1745329252
0.032,20.16069883,299.678422,0.03489491173,5.045135122,-10.10157213,-0.0007539514722,0.693844831,0.1745329252
0.033,20.16574396,299.6683204,0.03489415778,5.046550219,-10.10472424,-0.0007775906077,0.6939834211,0.1745329252
0.034,20.17079051,299.6582157,0.03489338019,5.047965595,-10.10787502,-0.000801234465,0.694121973,0.1745329252
0.035,20.17583848,299.6481078,0.03489257896,5.049381247,-10.11102446,-0.0008248830427,0.6942604868,0.1745329252
0.036,20.18088786,299.6379968,0.03489175407,5.050797177,-10.11417258,-0.0008485363395,0.6943989624,0.1745329252
0.037,20.18593866,299.6278826,0.03489090554,5.052213384,-10.11731936,-0.0008721943541,0.6945374,0.1745329252
0.038,20.19099087,299.6177653,0.03489003334,5.053629867,-10.12046482,-0.0008958570853,0.6946757995,0.1745329252
0.039,20.1960445,299.6076448,0.03488913749,5.055046627,-10.12360894,-0.0009195245317,0.6948141608,0.1745329252
0.04,20.20109955,299.5975212,0.03488821796,5.056463664,-10.12675174,-0.0009431966921,0.6949524841,0.1745329252
0.041,20.20615601,299.5873945,0.03488727476,5.057880976,-10.12989321,-0.0009668735651,0.6950907693,0.1745329252
0.042,20.21121389,299.5772646,0.03488630789,5.059298564,-10.13303335,-0.0009905551494,0.6952290165,0.1745329252
0.043,20.21627319,299.5671315,0.03488531734,5.060716427,-10.13617216,-0.001014241444,0.6953672256,0.1745329252
0.044,20.2213339,299.5569954,0.03488430309,5.062134565,-10.13930965,-0.001037932447,0.6955053966,0.1745329252
0.045,20.22639604,299.5468561,0.03488326516,5.063552979,-10.1424458,-0.001061628158,0.6956435296,0.1745329252
0.046,20.23145959,299.5367136,0.03488220353,5.064971668,-10.14558063,-0.001085328574,0.6957816246,0.1745329252
0.047,20.23652456,299.526568,0.03488111821,5.06639063,-10.14871414,-0.001109033696,0.6959196815,0.1745329252
0.048,20.24159095,299.5164193,0.03488000917,5.067809868,-10.15184632,-0.001132743521,0.6960577004,0.1745329252
0.049,20.24665876,299.5062675,0.03487887643,5.069229379,-10.15497717,-0.001156458049,0.6961956814,0.1745329252
0.05,20.25172799,299.4961125,0.03487771997,5.070649164,-10.15810669,-0.001180177277,0.6963336243,0.1745329252
0.051,20.25679864,299.4859544,0.03487653979,5.072069223,-10.16123489,-0.001203901205,0.6964715292,0.1745329252
0.052,20.26187071,299.4757932,0.03487533589,5.073489555,-10.16436177,-0.001227629832,0.6966093962,0.1745329252
0.053,20.2669442,299.4656288,0.03487410826,5.07491016,-10.16748732,-0.001251363155,0.6967472251,0.1745329252
0.054,20.27201911,299.4554613,0.0348728569,5.076331038,-10.17061155,-0.001275101175,0.6968850162,0.1745329252
0.055,20.27709544,299.4452907,0.0348715818,5.077752189,-10.17373445,-0.001298843889,0.6970227692,0.1745329252
0.056,20.2821732,299.435117,0.03487028295,5.079173612,-10.17685603,-0.001322591296,0.6971604843,0.1745329252
0.057,20.28725237,299.4249401,0.03486896036,5.080595307,-10.17997628,-0.001346343395,0.6972981615,0.1745329252
0.058,20.29233296,299.4147601,0.03486761402,5.082017274,-10.18309522,-0.001370100185,0.6974358007,0.1745329252
0.059,20.29741498,299.404577,0.03486624392,5.083439513,-10.18621283,-0.001393861664,0.697573402,0.1745329252
0.06,20.30249842,299.3943908,0.03486485006,5.084862023,-10.18932911,-0.001417627831,0.6977109654,0.1745329252
0.061,20.30758328,299.3842015,0.03486343243,5.086284805,-10.19244408,-0.001441398685,0.6978484909,0.1745329252
0.062,20.31266957,299.374009,0.03486199103,5.087707857,-10.19555772,-0.001465174224,0.6979859785,0.1745329252
0.063,20.31775728,299.3638135,0.03486052586,5.08913118,-10.19867005,-0.001488954447,0.6981234283,0.1745329252
0.064,20.32284641,299.3536148,0.0348590369,5.090554774,-10.20178105,-0.001512739354,0.6982608401,0.1745329252
0.065,20.32793696,299.343413,0.03485752416,5.091978637,-10.20489073,-0.001536528942,0.6983982141,0.1745329252
0.066,20.33302894,299.3332082,0.03485598763,5.093402771,-10.20799909,-0.00156032321,0.6985355502,0.1745329252
0.067,20.33812234,299.3230002,0.03485442731,5.094827175,-10.21110613,-0.001584122157,0.6986728484,0.1745329252
0.068,20.34321717,299.312789,0.03485284319,5.096251848,-10.21421185,-0.001607925782,0.6988101088,0.1745329252
0.069,20.34831342,299.3025748,0.03485123526,5.09767679,-10.21731625,-0.001631734084,0.6989473314,0.1745329252
0.07,20.3534111,299.2923575,0.03484960353,5.099102001,-10.22041934,-0.00165554706,0.6990845161,0.1745329252
0.071,20.3585102,299.2821371,0.03484794798,5.100527481,-10.2235211,-0.00167936471,0.699221663,0.1745329252
0.072,20.36361073,299.2719136,0.03484626862,5.10195323,-10.22662155,-0.001703187033,0.6993587721,0.1745329252
0.073,20.36871268,299.261687,0.03484456543,5.103379247,-10.22972067,-0.001727014028,0.6994958434,0.1745329252
0.074,20.37381606,299.2514572,0.03484283842,5.104805532,-10.23281848,-0.001750845692,0.6996328769,0.1745329252
0.075,20.37892087,299.2412244,0.03484108757,5.106232085,-10.23591498,-0.001774682025,0.6997698726,0.1745329252
0.076,20.3840271,299.2309885,0.03483931289,5.107658905,-10.23901015,-0.001798523025,0.6999068305,0.1745329252
0.077,20.38913476,299.2207495,0.03483751436,5.109085993,-10.24210401,-0.001822368692,0.7000437507,0.1745329252
0.078,20.39424384,299.2105074,0.034835692,5.110513348,-10.24519655,-0.001846219023,0.7001806331,0.1745329252
0.079,20.39935436,299.2002622,0.03483384578,5.11194097,-10.24828778,-0.001870074018,0.7003174777,0.1745329252
0.08,20.4044663,299.1900139,0.0348319757,5.113368858,-10.25137769,-0.001893933675,0.7004542847,0.1745329252
0.081,20.40957967,299.1797625,0.03483008177,5.114797013,-10.25446628,-0.001917797993,0.7005910538,0.1745329252
0.082,20.41469446,299.1695081,0.03482816397,5.116225433,-10.25755356,-0.001941666971,0.7007277853,0.1745329252
0.083,20.41981069,299.1592505,0.0348262223,5.11765412,-10.26063953,-0.001965540607,0.700864479,0.1745329252
0.084,20.42492834,299.1489899,0.03482425676,5.119083072,-10.26372418,-0.0019894189,0.701001135,0.1745329252
0.085,20.43004743,299.1387261,0.03482226734,5.12051229,-10.26680751,-0.002013301849,0.7011377533,0.1745329252
0.086,20.43516794,299.1284593,0.03482025404,5.121941773,-10.26988953,-0.002037189453,0.7012743339,0.1745329252
0.087,20.44028988,299.1181894,0.03481821685,5.123371521,-10.27297024,-0.00206108171,0.7014108768,0.1745329252
0.088,20.44541325,299.1079165,0.03481615577,5.124801533,-10.27604964,-0.002084978619,0.7015473821,0.1745329252
0.089,20.45053805,299.0976404,0.03481407079,5.12623181,-10.27912772,-0.002108880179,0.7016838496,0.1745329252
0.09,20.45566429,299.0873613,0.03481196191,5.127662351,-10.28220449,-0.002132786388,0.7018202795,0.1745329252
0.091,20.46079195,299.0770791,0.03480982913,5.129093156,-10.28527995,-0.002156697245,0.7019566718,0.1745329252
0.092,20.46592104,299.0667938,0.03480767243,5.130524225,-10.2883541,-0.002180612749,0.7020930264,0.1745329252
0.093,20.47105156,299.0565055,0.03480549182,5.131955557,-10.29142693,-0.002204532899,0.7022293434,0.1745329252
